Fiscal Year,Facility ID,Facility Name,Address,City/Town,State,ZIP Code,County/Parish,MORT-30-AMI Achievement Threshold,MORT-30-AMI Benchmark,MORT-30-AMI Baseline Rate,MORT-30-AMI Performance Rate,MORT-30-AMI Achievement Points,MORT-30-AMI Improvement Points,MORT-30-AMI Measure Score,MORT-30-HF Achievement Threshold,MORT-30-HF Benchmark,MORT-30-HF Baseline Rate,MORT-30-HF Performance Rate,MORT-30-HF Achievement Points,MORT-30-HF Improvement Points,MORT-30-HF Measure Score,MORT-30-PN Achievement Threshold,MORT-30-PN Benchmark,MORT-30-PN Baseline Rate,MORT-30-PN Performance Rate,MORT-30-PN Achievement Points,MORT-30-PN Improvement Points,MORT-30-PN Measure Score,MORT-30-COPD Achievement Threshold,MORT-30-COPD Benchmark,MORT-30-COPD Baseline Rate,MORT-30-COPD Performance Rate,MORT-30-COPD Achievement Points,MORT-30-COPD Improvement Points,MORT-30-COPD Measure Score,MORT-30-CABG Achievement Threshold,MORT-30-CABG Benchmark,MORT-30-CABG Baseline Rate,MORT-30-CABG Performance Rate,MORT-30-CABG Achievement Points,MORT-30-CABG Improvement Points,MORT-30-CABG Measure Score,COMP-HIP-KNEE Achievement Threshold,COMP-HIP-KNEE Benchmark,COMP-HIP-KNEE Baseline Rate,COMP-HIP-KNEE Performance Rate,COMP-HIP-KNEE Achievement Points,COMP-HIP-KNEE Improvement Points,COMP-HIP-KNEE Measure Score
2024,10024,JACKSON HOSPITAL & CLINIC INC,1725 PINE STREET,MONTGOMERY,AL,36106,MONTGOMERY,0.869247,0.887868,0.861210,0.887911,10 out of 10,9 out of 9,10 out of 10,0.882308,0.907733,0.867242,0.854947,0 out of 10,0 out of 9,0 out of 10,0.840281,0.872976,0.805871,0.811095,0 out of 10,0 out of 9,0 out of 10,0.916491,0.934002,0.909316,0.898446,0 out of 10,0 out of 9,0 out of 10,0.969499,0.980319,0.958737,0.964742,0 out of 10,2 out of 9,2 out of 10,0.025396,0.018159,0.019882,0.028128,0 out of 10,0 out of 9,0 out of 10
2024,10033,UNIVERSITY OF ALABAMA HOSPITAL,619 SOUTH 19TH STREET,BIRMINGHAM,AL,35233,JEFFERSON,0.869247,0.887868,0.880580,0.867522,0 out of 10,0 out of 9,0 out of 10,0.882308,0.907733,0.908331,0.901270,7 out of 10,0 out of 9,7 out of 10,0.840281,0.872976,0.876319,0.840808,1 out of 10,0 out of 9,1 out of 10,0.916491,0.934002,0.921632,0.905541,0 out of 10,0 out of 9,0 out of 10,0.969499,0.980319,0.974839,0.972227,3 out of 10,0 out of 9,3 out of 10,0.025396,0.018159,0.034715,0.029403,0 out of 10,3 out of 9,3 out of 10
2024,10035,CULLMAN REGIONAL MEDICAL CENTER,1912 ALABAMA HIGHWAY 157,CULLMAN,AL,35058,CULLMAN,0.869247,0.887868,0.856160,0.878767,5 out of 10,7 out of 9,7 out of 10,0.882308,0.907733,0.873634,0.865362,0 out of 10,0 out of 9,0 out of 10,0.840281,0.872976,0.807600,0.780233,0 out of 10,0 out of 9,0 out of 10,0.916491,0.934002,0.922935,0.909358,0 out of 10,0 out of 9,0 out of 10,0.969499,0.980319,Not Available,Not Available,Not Available,Not Available,Not Available,0.025396,0.018159,0.027849,0.030776,0 out of 10,0 out of 9,0 out of 10
2024,10036,ANDALUSIA HEALTH,849 SOUTH THREE NOTCH STREET,ANDALUSIA,AL,36420,COVINGTON,0.869247,0.887868,0.873484,Not Available,Not Available,Not Available,Not Available,0.882308,0.907733,0.904936,0.880741,0 out of 10,0 out of 9,0 out of 10,0.840281,0.872976,0.841154,0.760347,0 out of 10,0 out of 9,0 out of 10,0.916491,0.934002,0.921965,0.913675,0 out of 10,0 out of 9,0 out of 10,0.969499,0.980319,Not Available,Not Available,Not Available,Not Available,Not Available,0.025396,0.018159,0.026974,0.024575,2 out of 10,2 out of 9,2 out of 10
2024,10039,HUNTSVILLE HOSPITAL,101 SIVLEY RD,HUNTSVILLE,AL,35801,MADISON,0.869247,0.887868,0.861791,0.854030,0 out of 10,0 out of 9,0 out of 10,0.882308,0.907733,0.871959,0.847532,0 out of 10,0 out of 9,0 out of 10,0.840281,0.872976,0.820454,0.761427,0 out of 10,0 out of 9,0 out of 10,0.916491,0.934002,0.907648,0.874503,0 out of 10,0 out of 9,0 out of 10,0.969499,0.980319,0.978560,0.978242,8 out of 10,0 out of 9,8 out of 10,0.025396,0.018159,0.017824,0.025819,0 out of 10,0 out of 9,0 out of 10
2024,10040,GADSDEN REGIONAL MEDICAL CENTER,1007 GOODYEAR AVENUE,GADSDEN,AL,35903,ETOWAH,0.869247,0.887868,0.869683,0.878807,5 out of 10,5 out of 9,5 out of 10,0.882308,0.907733,0.886138,0.884641,1 out of 10,0 out of 9,1 out of 10,0.840281,0.872976,0.825346,0.791237,0 out of 10,0 out of 9,0 out of 10,0.916491,0.934002,0.921213,0.908359,0 out of 10,0 out of 9,0 out of 10,0.969499,0.980319,0.977170,0.964852,0 out of 10,0 out of 9,0 out of 10,0.025396,0.018159,0.034393,0.025496,0 out of 10,5 out of 9,5 out of 10
2024,10045,FAYETTE MEDICAL CENTER,1653 TEMPLE AVENUE NORTH,FAYETTE,AL,35555,FAYETTE,0.869247,0.887868,Not Available,Not Available,Not Available,Not Available,Not Available,0.882308,0.907733,0.885784,0.886742,2 out of 10,0 out of 9,2 out of 10,0.840281,0.872976,0.840273,0.819771,0 out of 10,0 out of 9,0 out of 10,0.916491,0.934002,0.921319,0.904996,0 out of 10,0 out of 9,0 out of 10,0.969499,0.980319,Not Available,Not Available,Not Available,Not Available,Not Available,0.025396,0.018159,Not Available,Not Available,Not Available,Not Available,Not Available
2024,10046,RIVERVIEW REGIONAL MEDICAL CENTER,600 SOUTH THIRD STREET,GADSDEN,AL,35901,ETOWAH,0.869247,0.887868,0.877950,0.882486,7 out of 10,4 out of 9,7 out of 10,0.882308,0.907733,0.906628,0.877709,0 out of 10,0 out of 9,0 out of 10,0.840281,0.872976,0.845776,0.824957,0 out of 10,0 out of 9,0 out of 10,0.916491,0.934002,0.914238,0.895622,0 out of 10,0 out of 9,0 out of 10,0.969499,0.980319,0.975639,Not Available,Not Available,Not Available,Not Available,0.025396,0.018159,0.026624,0.023137,3 out of 10,4 out of 9,4 out of 10
2024,10049,MEDICAL CENTER ENTERPRISE,400 N EDWARDS STREET,ENTERPRISE,AL,36330,COFFEE,0.869247,0.887868,Not Available,Not Available,Not Available,Not Available,Not Available,0.882308,0.907733,0.861811,0.883689,1 out of 10,4 out of 9,4 out of 10,0.840281,0.872976,0.833289,0.775550,0 out of 10,0 out of 9,0 out of 10,0.916491,0.934002,0.904596,0.894080,0 out of 10,0 out of 9,0 out of 10,0.969499,0.980319,Not Available,Not Available,Not Available,Not Available,Not Available,0.025396,0.018159,0.022064,0.022022,5 out of 10,0 out of 9,5 out of 10
2024,10055,FLOWERS HOSPITAL,4370 WEST MAIN STREET,DOTHAN,AL,36305,HOUSTON,0.869247,0.887868,0.863135,0.847093,0 out of 10,0 out of 9,0 out of 10,0.882308,0.907733,0.853796,0.850046,0 out of 10,0 out of 9,0 out of 10,0.840281,0.872976,0.830301,0.782443,0 out of 10,0 out of 9,0 out of 10,0.916491,0.934002,0.913415,0.890478,0 out of 10,0 out of 9,0 out of 10,0.969499,0.980319,0.972574,0.942428,0 out of 10,0 out of 9,0 out of 10,0.025396,0.018159,0.029896,0.027698,0 out of 10,1 out of 9,1 out of 10
2024,10056,ST VINCENT'S BIRMINGHAM,810 ST VINCENT'S DRIVE,BIRMINGHAM,AL,35205,JEFFERSON,0.869247,0.887868,0.855841,0.859964,0 out of 10,1 out of 9,1 out of 10,0.882308,0.907733,0.901629,0.896259,5 out of 10,0 out of 9,5 out of 10,0.840281,0.872976,0.852568,0.840186,0 out of 10,0 out of 9,0 out of 10,0.916491,0.934002,0.925617,0.900620,0 out of 10,0 out of 9,0 out of 10,0.969499,0.980319,0.957729,0.958369,0 out of 10,0 out of 9,0 out of 10,0.025396,0.018159,0.024509,0.028279,0 out of 10,0 out of 9,0 out of 10
2024,10061,HIGHLANDS MEDICAL CENTER,380 WOODS COVE ROAD,SCOTTSBORO,AL,35768,JACKSON,0.869247,0.887868,Not Available,Not Available,Not Available,Not Available,Not Available,0.882308,0.907733,0.865998,0.873195,0 out of 10,1 out of 9,1 out of 10,0.840281,0.872976,0.860463,0.800203,0 out of 10,0 out of 9,0 out of 10,0.916491,0.934002,0.911530,0.905733,0 out of 10,0 out of 9,0 out of 10,0.969499,0.980319,Not Available,Not Available,Not Available,Not Available,Not Available,0.025396,0.018159,0.026791,Not Available,Not Available,Not Available,Not Available
2024,10065,RUSSELL MEDICAL CENTER,3316 HIGHWAY 280,ALEXANDER CITY,AL,35010,TALLAPOOSA,0.869247,0.887868,0.873893,Not Available,Not Available,Not Available,Not Available,0.882308,0.907733,0.875214,0.874787,0 out of 10,0 out of 9,0 out of 10,0.840281,0.872976,0.814297,0.796888,0 out of 10,0 out of 9,0 out of 10,0.916491,0.934002,0.913305,0.904771,0 out of 10,0 out of 9,0 out of 10,0.969499,0.980319,Not Available,Not Available,Not Available,Not Available,Not Available,0.025396,0.018159,0.030265,Not Available,Not Available,Not Available,Not Available
2024,10069,MEDICAL CENTER BARBOUR,820 W WASHINGTON ST,EUFAULA,AL,36027,BARBOUR,0.869247,0.887868,Not Available,Not Available,Not Available,Not Available,Not Available,0.882308,0.907733,0.888668,0.870438,0 out of 10,0 out of 9,0 out of 10,0.840281,0.872976,0.847567,0.801452,0 out of 10,0 out of 9,0 out of 10,0.916491,0.934002,0.911481,Not Available,Not Available,Not Available,Not Available,0.969499,0.980319,Not Available,Not Available,Not Available,Not Available,Not Available,0.025396,0.018159,Not Available,Not Available,Not Available,Not Available,Not Available
2024,10078,NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,400 EAST 10TH STREET,ANNISTON,AL,36207,CALHOUN,0.869247,0.887868,0.882625,0.886982,9 out of 10,8 out of 9,9 out of 10,0.882308,0.907733,0.871758,0.881464,0 out of 10,2 out of 9,2 out of 10,0.840281,0.872976,0.820650,0.806702,0 out of 10,0 out of 9,0 out of 10,0.916491,0.934002,0.921396,0.914986,0 out of 10,0 out of 9,0 out of 10,0.969499,0.980319,0.952540,Not Available,Not Available,Not Available,Not Available,0.025396,0.018159,0.036926,0.031897,0 out of 10,2 out of 9,2 out of 10
2024,10079,ATHENS LIMESTONE HOSPITAL,700 WEST MARKET STREET,ATHENS,AL,35611,LIMESTONE,0.869247,0.887868,Not Available,Not Available,Not Available,Not Available,Not Available,0.882308,0.907733,0.903005,0.887201,2 out of 10,0 out of 9,2 out of 10,0.840281,0.872976,0.815272,0.810521,0 out of 10,0 out of 9,0 out of 10,0.916491,0.934002,0.926989,0.911497,0 out of 10,0 out of 9,0 out of 10,0.969499,0.980319,Not Available,Not Available,Not Available,Not Available,Not Available,0.025396,0.018159,0.030540,0.020724,6 out of 10,7 out of 9,7 out of 10
2024,10083,SOUTH BALDWIN REGIONAL MEDICAL CENTER,1613 NORTH MCKENZIE STREET,FOLEY,AL,36535,BALDWIN,0.869247,0.887868,0.856856,0.874418,3 out of 10,5 out of 9,5 out of 10,0.882308,0.907733,0.895461,0.887747,2 out of 10,0 out of 9,2 out of 10,0.840281,0.872976,0.843548,0.793175,0 out of 10,0 out of 9,0 out of 10,0.916491,0.934002,0.925405,0.908073,0 out of 10,0 out of 9,0 out of 10,0.969499,0.980319,Not Available,Not Available,Not Available,Not Available,Not Available,0.025396,0.018159,0.026882,0.029087,0 out of 10,0 out of 9,0 out of 10
2024,10085,DECATUR MORGAN HOSPITAL - DECATUR CAMPUS,1201 7TH STREET SE,DECATUR,AL,35601,MORGAN,0.869247,0.887868,0.867915,0.871516,2 out of 10,1 out of 9,2 out of 10,0.882308,0.907733,0.895958,0.888579,3 out of 10,0 out of 9,3 out of 10,0.840281,0.872976,0.815687,0.791515,0 out of 10,0 out of 9,0 out of 10,0.916491,0.934002,0.918743,0.921057,3 out of 10,1 out of 9,3 out of 10,0.969499,0.980319,Not Available,Not Available,Not Available,Not Available,Not Available,0.025396,0.018159,0.025137,0.038864,0 out of 10,0 out of 9,0 out of 10
2024,10086,NORTHWEST MEDICAL CENTER,1530 U S HIGHWAY 43,WINFIELD,AL,35594,MARION,0.869247,0.887868,Not Available,Not Available,Not Available,Not Available,Not Available,0.882308,0.907733,0.857453,0.869591,0 out of 10,2 out of 9,2 out of 10,0.840281,0.872976,0.837253,0.760773,0 out of 10,0 out of 9,0 out of 10,0.916491,0.934002,0.910751,0.904045,0 out of 10,0 out of 9,0 out of 10,0.969499,0.980319,Not Available,Not Available,Not Available,Not Available,Not Available,0.025396,0.018159,Not Available,Not Available,Not Available,Not Available,Not Available
2024,10089,WALKER BAPTIST MEDICAL CENTER,3400 HIGHWAY 78 EAST,JASPER,AL,35502,WALKER,0.869247,0.887868,0.865263,Not Available,Not Available,Not Available,Not Available,0.882308,0.907733,0.862643,0.867826,0 out of 10,1 out of 9,1 out of 10,0.840281,0.872976,0.788640,0.799951,0 out of 10,1 out of 9,1 out of 10,0.916491,0.934002,0.923515,0.918617,2 out of 10,0 out of 9,2 out of 10,0.969499,0.980319,Not Available,Not Available,Not Available,Not Available,Not Available,0.025396,0.018159,0.023115,Not Available,Not Available,Not Available,Not Available
2024,10090,PROVIDENCE HOSPITAL,6801 AIRPORT BOULEVARD,MOBILE,AL,36608,MOBILE,0.869247,0.887868,0.837044,0.859116,0 out of 10,4 out of 9,4 out of 10,0.882308,0.907733,0.838017,0.868338,0 out of 10,4 out of 9,4 out of 10,0.840281,0.872976,0.846603,0.768104,0 out of 10,0 out of 9,0 out of 10,0.916491,0.934002,0.926969,0.889611,0 out of 10,0 out of 9,0 out of 10,0.969499,0.980319,0.961426,0.963925,0 out of 10,1 out of 9,1 out of 10,0.025396,0.018159,0.023926,0.023902,2 out of 10,0 out of 9,2 out of 10
2024,10092,DCH REGIONAL MEDICAL CENTER,809 UNIVERSITY BOULEVARD EAST,TUSCALOOSA,AL,35401,TUSCALOOSA,0.869247,0.887868,0.865640,0.863500,0 out of 10,0 out of 9,0 out of 10,0.882308,0.907733,0.872219,0.858311,0 out of 10,0 out of 9,0 out of 10,0.840281,0.872976,0.822952,0.829801,0 out of 10,1 out of 9,1 out of 10,0.916491,0.934002,0.903319,0.889425,0 out of 10,0 out of 9,0 out of 10,0.969499,0.980319,0.963471,0.974516,5 out of 10,6 out of 9,6 out of 10,0.025396,0.018159,0.025467,0.025212,1 out of 10,0 out of 9,1 out of 10
2024,10099,D W MCMILLAN MEMORIAL HOSPITAL,1301 BELLEVILLE AVENUE,BREWTON,AL,36426,ESCAMBIA,0.869247,0.887868,0.858617,Not Available,Not Available,Not Available,Not Available,0.882308,0.907733,0.883083,0.876131,0 out of 10,0 out of 9,0 out of 10,0.840281,0.872976,0.788290,0.777626,0 out of 10,0 out of 9,0 out of 10,0.916491,0.934002,0.913849,Not Available,Not Available,Not Available,Not Available,0.969499,0.980319,Not Available,Not Available,Not Available,Not Available,Not Available,0.025396,0.018159,Not Available,Not Available,Not Available,Not Available,Not Available
2024,10100,THOMAS HOSPITAL,750 MORPHY AVENUE,FAIRHOPE,AL,36532,BALDWIN,0.869247,0.887868,0.882778,0.871021,1 out of 10,0 out of 9,1 out of 10,0.882308,0.907733,0.869393,0.868528,0 out of 10,0 out of 9,0 out of 10,0.840281,0.872976,0.830203,0.795570,0 out of 10,0 out of 9,0 out of 10,0.916491,0.934002,0.904057,0.901084,0 out of 10,0 out of 9,0 out of 10,0.969499,0.980319,0.956393,0.964814,0 out of 10,3 out of 9,3 out of 10,0.025396,0.018159,0.028473,0.020312,7 out of 10,7 out of 9,7 out of 10
2024,10101,CITIZENS BAPTIST MEDICAL CENTER,604 STONE AVENUE,TALLADEGA,AL,35161,TALLADEGA,0.869247,0.887868,Not Available,Not Available,Not Available,Not Available,Not Available,0.882308,0.907733,0.865383,0.878293,0 out of 10,3 out of 9,3 out of 10,0.840281,0.872976,0.814265,0.820523,0 out of 10,1 out of 9,1 out of 10,0.916491,0.934002,0.907863,Not Available,Not Available,Not Available,Not Available,0.969499,0.980319,Not Available,Not Available,Not Available,Not Available,Not Available,0.025396,0.018159,Not Available,Not Available,Not Available,Not Available,Not Available
2024,10103,PRINCETON BAPTIST MEDICAL CENTER,701 PRINCETON AVENUE SOUTHWEST,BIRMINGHAM,AL,35211,JEFFERSON,0.869247,0.887868,0.839636,0.840405,0 out of 10,0 out of 9,0 out of 10,0.882308,0.907733,0.876608,0.882099,0 out of 10,1 out of 9,1 out of 10,0.840281,0.872976,0.806939,0.817215,0 out of 10,1 out of 9,1 out of 10,0.916491,0.934002,0.925170,0.905596,0 out of 10,0 out of 9,0 out of 10,0.969499,0.980319,0.963474,0.972958,3 out of 10,5 out of 9,5 out of 10,0.025396,0.018159,0.023915,0.025681,0 out of 10,0 out of 9,0 out of 10
2024,10104,GRANDVIEW MEDICAL CENTER,3690 GRANDVIEW PARKWAY,BIRMINGHAM,AL,35243,JEFFERSON,0.869247,0.887868,0.864075,0.873073,2 out of 10,3 out of 9,3 out of 10,0.882308,0.907733,0.877282,0.876285,0 out of 10,0 out of 9,0 out of 10,0.840281,0.872976,0.836750,0.798633,0 out of 10,0 out of 9,0 out of 10,0.916491,0.934002,0.905492,0.893109,0 out of 10,0 out of 9,0 out of 10,0.969499,0.980319,0.947173,0.947890,0 out of 10,0 out of 9,0 out of 10,0.025396,0.018159,0.033383,0.029163,0 out of 10,2 out of 9,2 out of 10
2024,10108,PRATTVILLE BAPTIST HOSPITAL,124 S MEMORIAL DR,PRATTVILLE,AL,36067,AUTAUGA,0.869247,0.887868,0.870002,Not Available,Not Available,Not Available,Not Available,0.882308,0.907733,0.915522,0.862078,0 out of 10,0 out of 9,0 out of 10,0.840281,0.872976,0.838080,0.819794,0 out of 10,0 out of 9,0 out of 10,0.916491,0.934002,0.934516,0.907141,0 out of 10,0 out of 9,0 out of 10,0.969499,0.980319,Not Available,Not Available,Not Available,Not Available,Not Available,0.025396,0.018159,Not Available,Not Available,Not Available,Not Available,Not Available
2024,10112,WHITFIELD REGIONAL HOSPITAL,105 HIGHWAY 80 EAST,DEMOPOLIS,AL,36732,MARENGO,0.869247,0.887868,Not Available,Not Available,Not Available,Not Available,Not Available,0.882308,0.907733,0.899169,0.872959,0 out of 10,0 out of 9,0 out of 10,0.840281,0.872976,0.845492,0.805232,0 out of 10,0 out of 9,0 out of 10,0.916491,0.934002,0.908834,Not Available,Not Available,Not Available,Not Available,0.969499,0.980319,Not Available,Not Available,Not Available,Not Available,Not Available,0.025396,0.018159,Not Available,Not Available,Not Available,Not Available,Not Available
2024,10113,MOBILE INFIRMARY MEDICAL CENTER,5 MOBILE INFIRMARY CIRCLE,MOBILE,AL,36607,MOBILE,0.869247,0.887868,0.861691,0.880951,6 out of 10,7 out of 9,7 out of 10,0.882308,0.907733,0.877001,0.880418,0 out of 10,1 out of 9,1 out of 10,0.840281,0.872976,0.821145,0.775975,0 out of 10,0 out of 9,0 out of 10,0.916491,0.934002,0.924058,0.892693,0 out of 10,0 out of 9,0 out of 10,0.969499,0.980319,0.944794,0.960101,0 out of 10,4 out of 9,4 out of 10,0.025396,0.018159,0.030458,0.028611,0 out of 10,1 out of 9,1 out of 10
2024,10114,MEDICAL WEST  AN AFFILIATE OF UAB HEALTH SYSTEM,995 9TH AVENUE SOUTHWEST,BESSEMER,AL,35021,JEFFERSON,0.869247,0.887868,0.871540,Not Available,Not Available,Not Available,Not Available,0.882308,0.907733,0.882631,0.884713,1 out of 10,0 out of 9,1 out of 10,0.840281,0.872976,0.834864,0.832384,0 out of 10,0 out of 9,0 out of 10,0.916491,0.934002,0.929351,0.905810,0 out of 10,0 out of 9,0 out of 10,0.969499,0.980319,Not Available,Not Available,Not Available,Not Available,Not Available,0.025396,0.018159,0.024942,Not Available,Not Available,Not Available,Not Available
