Fiscal Year,Facility ID,Facility Name,Address,City/Town,State,ZIP Code,County/Parish,HAI-1 Achievement Threshold,HAI-1 Benchmark,HAI-1 Baseline Rate,HAI-1 Performance Rate,HAI-1 Achievement Points,HAI-1 Improvement Points,HAI-1 Measure Score,HAI-2 Achievement Threshold,HAI-2 Benchmark,HAI-2 Baseline Rate,HAI-2 Performance Rate,HAI-2 Achievement Points,HAI-2 Improvement Points,HAI-2 Measure Score,Combined SSI Measure Score,HAI-3 Achievement Threshold,HAI-3 Benchmark,HAI-3 Baseline Rate,HAI-3 Performance Rate,HAI-3 Achievement Points,HAI-3 Improvement Points,HAI-3 Measure Score,HAI-4 Achievement Threshold,HAI-4 Benchmark,HAI-4 Baseline Rate,HAI-4 Performance Rate,HAI-4 Achievement Points,HAI-4 Improvement Points,HAI-4 Measure Score,HAI-5 Achievement Threshold,HAI-5 Benchmark,HAI-5 Baseline Rate,HAI-5 Performance Rate,HAI-5 Achievement Points,HAI-5 Improvement Points,HAI-5 Measure Score,HAI-6 Achievement Threshold,HAI-6 Benchmark,HAI-6 Baseline Rate,HAI-6 Performance Rate,HAI-6 Achievement Points,HAI-6 Improvement Points,HAI-6 Measure Score
2024,10024,JACKSON HOSPITAL & CLINIC INC,1725 PINE STREET,MONTGOMERY,AL,36106,MONTGOMERY,0.589,0,1.098,3.714,0 out of 10,0 out of 9,0 out of 10,0.65,0,1.103,1.966,0 out of 10,0 out of 9,0 out of 10,1 out of 10,0.717,0,0.201,0.660,1 out of 10,0 out of 9,1 out of 10,0.738,0,Not Available,Not Available,Not Available,Not Available,Not Available,0.726,0,1.474,3.754,0 out of 10,0 out of 9,0 out of 10,0.52,0.014,0.765,0.815,0 out of 10,0 out of 9,0 out of 10
2024,10033,UNIVERSITY OF ALABAMA HOSPITAL,619 SOUTH 19TH STREET,BIRMINGHAM,AL,35233,JEFFERSON,0.589,0,0.606,0.953,0 out of 10,0 out of 9,0 out of 10,0.65,0,0.460,0.653,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0.717,0,0.559,0.748,0 out of 10,0 out of 9,0 out of 10,0.738,0,0.847,1.631,0 out of 10,0 out of 9,0 out of 10,0.726,0,1.095,1.766,0 out of 10,0 out of 9,0 out of 10,0.52,0.014,0.456,0.395,3 out of 10,1 out of 9,3 out of 10
2024,10035,CULLMAN REGIONAL MEDICAL CENTER,1912 ALABAMA HIGHWAY 157,CULLMAN,AL,35058,CULLMAN,0.589,0,0.000,0.000,10 out of 10,0 out of 9,10 out of 10,0.65,0,0.558,1.032,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0.717,0,0.820,1.339,0 out of 10,0 out of 9,0 out of 10,0.738,0,Not Available,Not Available,Not Available,Not Available,Not Available,0.726,0,0.726,0.000,10 out of 10,9 out of 9,10 out of 10,0.52,0.014,0.070,0.295,5 out of 10,0 out of 9,5 out of 10
2024,10036,ANDALUSIA HEALTH,849 SOUTH THREE NOTCH STREET,ANDALUSIA,AL,36420,COVINGTON,0.589,0,Not Available,Not Available,Not Available,Not Available,Not Available,0.65,0,0.000,Not Available,Not Available,Not Available,Not Available,Not Available,0.717,0,Not Available,Not Available,Not Available,Not Available,Not Available,0.738,0,Not Available,Not Available,Not Available,Not Available,Not Available,0.726,0,Not Available,Not Available,Not Available,Not Available,Not Available,0.52,0.014,0.410,0.000,10 out of 10,9 out of 9,10 out of 10
2024,10039,HUNTSVILLE HOSPITAL,101 SIVLEY RD,HUNTSVILLE,AL,35801,MADISON,0.589,0,0.828,1.387,0 out of 10,0 out of 9,0 out of 10,0.65,0,0.520,0.759,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0.717,0,0.689,0.926,0 out of 10,0 out of 9,0 out of 10,0.738,0,0.144,0.767,0 out of 10,0 out of 9,0 out of 10,0.726,0,1.307,1.350,0 out of 10,0 out of 9,0 out of 10,0.52,0.014,0.486,0.759,0 out of 10,0 out of 9,0 out of 10
2024,10040,GADSDEN REGIONAL MEDICAL CENTER,1007 GOODYEAR AVENUE,GADSDEN,AL,35903,ETOWAH,0.589,0,0.939,1.044,0 out of 10,0 out of 9,0 out of 10,0.65,0,0.156,0.762,0 out of 10,0 out of 9,0 out of 10,10 out of 10,0.717,0,0.000,0.000,10 out of 10,0 out of 9,10 out of 10,0.738,0,Not Available,Not Available,Not Available,Not Available,Not Available,0.726,0,0.948,2.326,0 out of 10,0 out of 9,0 out of 10,0.52,0.014,0.102,0.128,7 out of 10,0 out of 9,7 out of 10
2024,10045,FAYETTE MEDICAL CENTER,1653 TEMPLE AVENUE NORTH,FAYETTE,AL,35555,FAYETTE,0.589,0,Not Available,Not Available,Not Available,Not Available,Not Available,0.65,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.717,0,Not Available,Not Available,Not Available,Not Available,Not Available,0.738,0,Not Available,Not Available,Not Available,Not Available,Not Available,0.726,0,Not Available,Not Available,Not Available,Not Available,Not Available,0.52,0.014,Not Available,Not Available,Not Available,Not Available,Not Available
2024,10046,RIVERVIEW REGIONAL MEDICAL CENTER,600 SOUTH THIRD STREET,GADSDEN,AL,35901,ETOWAH,0.589,0,0.401,0.351,4 out of 10,1 out of 9,4 out of 10,0.65,0,0.000,0.000,10 out of 10,0 out of 9,10 out of 10,10 out of 10,0.717,0,0.829,0.000,10 out of 10,9 out of 9,10 out of 10,0.738,0,Not Available,Not Available,Not Available,Not Available,Not Available,0.726,0,Not Available,0.000,10 out of 10,Not Available,10 out of 10,0.52,0.014,0.321,0.225,6 out of 10,3 out of 9,6 out of 10
2024,10049,MEDICAL CENTER ENTERPRISE,400 N EDWARDS STREET,ENTERPRISE,AL,36330,COFFEE,0.589,0,Not Available,Not Available,Not Available,Not Available,Not Available,0.65,0,0.000,0.000,10 out of 10,0 out of 9,10 out of 10,Not Available,0.717,0,Not Available,Not Available,Not Available,Not Available,Not Available,0.738,0,Not Available,Not Available,Not Available,Not Available,Not Available,0.726,0,Not Available,Not Available,Not Available,Not Available,Not Available,0.52,0.014,0.843,1.255,0 out of 10,0 out of 9,0 out of 10
2024,10055,FLOWERS HOSPITAL,4370 WEST MAIN STREET,DOTHAN,AL,36305,HOUSTON,0.589,0,0.228,0.499,2 out of 10,0 out of 9,2 out of 10,0.65,0,0.826,0.188,7 out of 10,7 out of 9,7 out of 10,5 out of 10,0.717,0,0.435,0.000,10 out of 10,9 out of 9,10 out of 10,0.738,0,0.000,0.641,2 out of 10,0 out of 9,2 out of 10,0.726,0,0.375,0.707,1 out of 10,0 out of 9,1 out of 10,0.52,0.014,0.373,0.312,4 out of 10,1 out of 9,4 out of 10
2024,10056,ST VINCENT'S BIRMINGHAM,810 ST VINCENT'S DRIVE,BIRMINGHAM,AL,35205,JEFFERSON,0.589,0,0.776,0.435,3 out of 10,4 out of 9,4 out of 10,0.65,0,0.518,0.380,4 out of 10,2 out of 9,4 out of 10,4 out of 10,0.717,0,0.308,0.243,6 out of 10,2 out of 9,6 out of 10,0.738,0,0.588,0.857,0 out of 10,0 out of 9,0 out of 10,0.726,0,0.518,0.786,0 out of 10,0 out of 9,0 out of 10,0.52,0.014,0.396,0.548,0 out of 10,0 out of 9,0 out of 10
2024,10061,HIGHLANDS MEDICAL CENTER,380 WOODS COVE ROAD,SCOTTSBORO,AL,35768,JACKSON,0.589,0,Not Available,Not Available,Not Available,Not Available,Not Available,0.65,0,Not Available,2.762,0 out of 10,Not Available,0 out of 10,Not Available,0.717,0,Not Available,Not Available,Not Available,Not Available,Not Available,0.738,0,Not Available,Not Available,Not Available,Not Available,Not Available,0.726,0,Not Available,Not Available,Not Available,Not Available,Not Available,0.52,0.014,0.222,0.309,4 out of 10,0 out of 9,4 out of 10
2024,10065,RUSSELL MEDICAL CENTER,3316 HIGHWAY 280,ALEXANDER CITY,AL,35010,TALLAPOOSA,0.589,0,Not Available,Not Available,Not Available,Not Available,Not Available,0.65,0,0.000,0.000,10 out of 10,0 out of 9,10 out of 10,Not Available,0.717,0,Not Available,Not Available,Not Available,Not Available,Not Available,0.738,0,Not Available,Not Available,Not Available,Not Available,Not Available,0.726,0,Not Available,Not Available,Not Available,Not Available,Not Available,0.52,0.014,0.000,1.189,0 out of 10,0 out of 9,0 out of 10
2024,10069,MEDICAL CENTER BARBOUR,820 W WASHINGTON ST,EUFAULA,AL,36027,BARBOUR,0.589,0,Not Available,Not Available,Not Available,Not Available,Not Available,0.65,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.717,0,Not Available,Not Available,Not Available,Not Available,Not Available,0.738,0,Not Available,Not Available,Not Available,Not Available,Not Available,0.726,0,Not Available,Not Available,Not Available,Not Available,Not Available,0.52,0.014,0.732,0.000,10 out of 10,9 out of 9,10 out of 10
2024,10078,NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,400 EAST 10TH STREET,ANNISTON,AL,36207,CALHOUN,0.589,0,1.647,0.288,5 out of 10,8 out of 9,8 out of 10,0.65,0,1.293,0.205,7 out of 10,8 out of 9,8 out of 10,10 out of 10,0.717,0,0.890,0.000,10 out of 10,9 out of 9,10 out of 10,0.738,0,0.000,Not Available,Not Available,Not Available,Not Available,0.726,0,1.585,1.366,0 out of 10,1 out of 9,1 out of 10,0.52,0.014,0.756,1.156,0 out of 10,0 out of 9,0 out of 10
2024,10079,ATHENS LIMESTONE HOSPITAL,700 WEST MARKET STREET,ATHENS,AL,35611,LIMESTONE,0.589,0,Not Available,Not Available,Not Available,Not Available,Not Available,0.65,0,1.670,1.374,0 out of 10,1 out of 9,1 out of 10,Not Available,0.717,0,0.000,Not Available,Not Available,Not Available,Not Available,0.738,0,Not Available,Not Available,Not Available,Not Available,Not Available,0.726,0,Not Available,0.000,10 out of 10,Not Available,10 out of 10,0.52,0.014,0.773,0.334,4 out of 10,5 out of 9,5 out of 10
2024,10083,SOUTH BALDWIN REGIONAL MEDICAL CENTER,1613 NORTH MCKENZIE STREET,FOLEY,AL,36535,BALDWIN,0.589,0,0.000,0.000,10 out of 10,0 out of 9,10 out of 10,0.65,0,0.304,0.446,3 out of 10,0 out of 9,3 out of 10,Not Available,0.717,0,Not Available,Not Available,Not Available,Not Available,Not Available,0.738,0,Not Available,Not Available,Not Available,Not Available,Not Available,0.726,0,1.737,0.678,1 out of 10,6 out of 9,6 out of 10,0.52,0.014,0.338,0.099,8 out of 10,7 out of 9,8 out of 10
2024,10085,DECATUR MORGAN HOSPITAL - DECATUR CAMPUS,1201 7TH STREET SE,DECATUR,AL,35601,MORGAN,0.589,0,1.850,0.343,4 out of 10,8 out of 9,8 out of 10,0.65,0,0.574,0.121,8 out of 10,7 out of 9,8 out of 10,4 out of 10,0.717,0,0.256,0.446,4 out of 10,0 out of 9,4 out of 10,0.738,0,Not Available,Not Available,Not Available,Not Available,Not Available,0.726,0,1.078,0.392,5 out of 10,6 out of 9,6 out of 10,0.52,0.014,0.786,0.048,9 out of 10,9 out of 9,9 out of 10
2024,10086,NORTHWEST MEDICAL CENTER,1530 U S HIGHWAY 43,WINFIELD,AL,35594,MARION,0.589,0,Not Available,Not Available,Not Available,Not Available,Not Available,0.65,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.717,0,Not Available,Not Available,Not Available,Not Available,Not Available,0.738,0,Not Available,Not Available,Not Available,Not Available,Not Available,0.726,0,Not Available,Not Available,Not Available,Not Available,Not Available,0.52,0.014,1.048,Not Available,Not Available,Not Available,Not Available
2024,10089,WALKER BAPTIST MEDICAL CENTER,3400 HIGHWAY 78 EAST,JASPER,AL,35502,WALKER,0.589,0,0.755,1.200,0 out of 10,0 out of 9,0 out of 10,0.65,0,0.287,0.000,10 out of 10,9 out of 9,10 out of 10,10 out of 10,0.717,0,Not Available,0.000,10 out of 10,Not Available,10 out of 10,0.738,0,Not Available,Not Available,Not Available,Not Available,Not Available,0.726,0,0.935,4.878,0 out of 10,0 out of 9,0 out of 10,0.52,0.014,0.216,0.544,0 out of 10,0 out of 9,0 out of 10
2024,10090,PROVIDENCE HOSPITAL,6801 AIRPORT BOULEVARD,MOBILE,AL,36608,MOBILE,0.589,0,0.570,0.416,3 out of 10,2 out of 9,3 out of 10,0.65,0,0.000,0.288,6 out of 10,0 out of 9,6 out of 10,0 out of 10,0.717,0,0.324,1.111,0 out of 10,0 out of 9,0 out of 10,0.738,0,0.000,0.834,0 out of 10,0 out of 9,0 out of 10,0.726,0,0.402,0.592,2 out of 10,0 out of 9,2 out of 10,0.52,0.014,0.577,0.541,0 out of 10,0 out of 9,0 out of 10
2024,10092,DCH REGIONAL MEDICAL CENTER,809 UNIVERSITY BOULEVARD EAST,TUSCALOOSA,AL,35401,TUSCALOOSA,0.589,0,0.647,1.820,0 out of 10,0 out of 9,0 out of 10,0.65,0,0.842,0.471,3 out of 10,4 out of 9,4 out of 10,0 out of 10,0.717,0,0.593,0.886,0 out of 10,0 out of 9,0 out of 10,0.738,0,1.361,1.093,0 out of 10,1 out of 9,1 out of 10,0.726,0,1.757,1.304,0 out of 10,2 out of 9,2 out of 10,0.52,0.014,0.724,0.610,0 out of 10,1 out of 9,1 out of 10
2024,10099,D W MCMILLAN MEMORIAL HOSPITAL,1301 BELLEVILLE AVENUE,BREWTON,AL,36426,ESCAMBIA,0.589,0,Not Available,Not Available,Not Available,Not Available,Not Available,0.65,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.717,0,Not Available,Not Available,Not Available,Not Available,Not Available,0.738,0,Not Available,Not Available,Not Available,Not Available,Not Available,0.726,0,Not Available,Not Available,Not Available,Not Available,Not Available,0.52,0.014,0.471,0.591,0 out of 10,0 out of 9,0 out of 10
2024,10100,THOMAS HOSPITAL,750 MORPHY AVENUE,FAIRHOPE,AL,36532,BALDWIN,0.589,0,0.515,0.387,4 out of 10,2 out of 9,4 out of 10,0.65,0,0.597,1.582,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0.717,0,1.002,1.628,0 out of 10,0 out of 9,0 out of 10,0.738,0,0.000,Not Available,Not Available,Not Available,Not Available,0.726,0,1.271,0.000,10 out of 10,9 out of 9,10 out of 10,0.52,0.014,0.368,0.336,4 out of 10,0 out of 9,4 out of 10
2024,10101,CITIZENS BAPTIST MEDICAL CENTER,604 STONE AVENUE,TALLADEGA,AL,35161,TALLADEGA,0.589,0,Not Available,Not Available,Not Available,Not Available,Not Available,0.65,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.717,0,Not Available,Not Available,Not Available,Not Available,Not Available,0.738,0,Not Available,Not Available,Not Available,Not Available,Not Available,0.726,0,Not Available,Not Available,Not Available,Not Available,Not Available,0.52,0.014,0.000,1.550,0 out of 10,0 out of 9,0 out of 10
2024,10103,PRINCETON BAPTIST MEDICAL CENTER,701 PRINCETON AVENUE SOUTHWEST,BIRMINGHAM,AL,35211,JEFFERSON,0.589,0,0.524,0.357,4 out of 10,3 out of 9,4 out of 10,0.65,0,0.335,0.223,6 out of 10,3 out of 9,6 out of 10,0 out of 10,0.717,0,0.201,0.793,0 out of 10,0 out of 9,0 out of 10,0.738,0,Not Available,Not Available,Not Available,Not Available,Not Available,0.726,0,1.507,1.808,0 out of 10,0 out of 9,0 out of 10,0.52,0.014,0.326,0.208,6 out of 10,3 out of 9,6 out of 10
2024,10104,GRANDVIEW MEDICAL CENTER,3690 GRANDVIEW PARKWAY,BIRMINGHAM,AL,35243,JEFFERSON,0.589,0,0.321,0.564,1 out of 10,0 out of 9,1 out of 10,0.65,0,0.994,0.774,0 out of 10,2 out of 9,2 out of 10,3 out of 10,0.717,0,0.293,0.451,4 out of 10,0 out of 9,4 out of 10,0.738,0,0.648,1.198,0 out of 10,0 out of 9,0 out of 10,0.726,0,0.513,0.766,0 out of 10,0 out of 9,0 out of 10,0.52,0.014,0.482,0.261,5 out of 10,4 out of 9,5 out of 10
2024,10108,PRATTVILLE BAPTIST HOSPITAL,124 S MEMORIAL DR,PRATTVILLE,AL,36067,AUTAUGA,0.589,0,Not Available,Not Available,Not Available,Not Available,Not Available,0.65,0,1.826,0.615,1 out of 10,6 out of 9,6 out of 10,Not Available,0.717,0,Not Available,Not Available,Not Available,Not Available,Not Available,0.738,0,Not Available,Not Available,Not Available,Not Available,Not Available,0.726,0,Not Available,Not Available,Not Available,Not Available,Not Available,0.52,0.014,0.698,0.411,2 out of 10,4 out of 9,4 out of 10
2024,10112,WHITFIELD REGIONAL HOSPITAL,105 HIGHWAY 80 EAST,DEMOPOLIS,AL,36732,MARENGO,0.589,0,Not Available,Not Available,Not Available,Not Available,Not Available,0.65,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.717,0,Not Available,Not Available,Not Available,Not Available,Not Available,0.738,0,Not Available,Not Available,Not Available,Not Available,Not Available,0.726,0,Not Available,Not Available,Not Available,Not Available,Not Available,0.52,0.014,1.195,0.388,3 out of 10,6 out of 9,6 out of 10
2024,10113,MOBILE INFIRMARY MEDICAL CENTER,5 MOBILE INFIRMARY CIRCLE,MOBILE,AL,36607,MOBILE,0.589,0,1.026,0.852,0 out of 10,1 out of 9,1 out of 10,0.65,0,0.921,0.431,4 out of 10,5 out of 9,5 out of 10,3 out of 10,0.717,0,1.137,0.814,0 out of 10,2 out of 9,2 out of 10,0.738,0,4.525,1.894,0 out of 10,5 out of 9,5 out of 10,0.726,0,0.585,1.105,0 out of 10,0 out of 9,0 out of 10,0.52,0.014,0.268,0.332,4 out of 10,0 out of 9,4 out of 10
2024,10114,MEDICAL WEST  AN AFFILIATE OF UAB HEALTH SYSTEM,995 9TH AVENUE SOUTHWEST,BESSEMER,AL,35021,JEFFERSON,0.589,0,0.542,1.407,0 out of 10,0 out of 9,0 out of 10,0.65,0,0.756,0.582,1 out of 10,2 out of 9,2 out of 10,0 out of 10,0.717,0,0.472,0.903,0 out of 10,0 out of 9,0 out of 10,0.738,0,Not Available,Not Available,Not Available,Not Available,Not Available,0.726,0,0.405,2.218,0 out of 10,0 out of 9,0 out of 10,0.52,0.014,0.143,1.031,0 out of 10,0 out of 9,0 out of 10
2024,10118,VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS,1015 MEDICAL CENTER PARKWAY,SELMA,AL,36701,DALLAS,0.589,0,Not Available,Not Available,Not Available,Not Available,Not Available,0.65,0,0.000,0.520,2 out of 10,0 out of 9,2 out of 10,Not Available,0.717,0,Not Available,Not Available,Not Available,Not Available,Not Available,0.738,0,Not Available,Not Available,Not Available,Not Available,Not Available,0.726,0,Not Available,Not Available,Not Available,Not Available,Not Available,0.52,0.014,0.146,0.531,0 out of 10,0 out of 9,0 out of 10
2024,10125,LAKELAND COMMUNITY HOSPITAL,42024 HIGHWAY 195 E,HALEYVILLE,AL,35565,WINSTON,0.589,0,Not Available,Not Available,Not Available,Not Available,Not Available,0.65,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.717,0,Not Available,Not Available,Not Available,Not Available,Not Available,0.738,0,Not Available,Not Available,Not Available,Not Available,Not Available,0.726,0,Not Available,Not Available,Not Available,Not Available,Not Available,0.52,0.014,0.000,0.734,0 out of 10,0 out of 9,0 out of 10
2024,10126,TROY REGIONAL MEDICAL CENTER,1330 HIGHWAY 231 SOUTH,TROY,AL,36081,PIKE,0.589,0,Not Available,Not Available,Not Available,Not Available,Not Available,0.65,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.717,0,Not Available,Not Available,Not Available,Not Available,Not Available,0.738,0,Not Available,Not Available,Not Available,Not Available,Not Available,0.726,0,Not Available,Not Available,Not Available,Not Available,Not Available,0.52,0.014,0.000,0.000,10 out of 10,0 out of 9,10 out of 10
2024,10130,ST VINCENT'S ST CLAIR,7063 VETERANS PARKWAY,PELL CITY,AL,35125,ST. CLAIR,0.589,0,Not Available,Not Available,Not Available,Not Available,Not Available,0.65,0,Not Available,0.000,10 out of 10,Not Available,10 out of 10,Not Available,0.717,0,Not Available,Not Available,Not Available,Not Available,Not Available,0.738,0,Not Available,Not Available,Not Available,Not Available,Not Available,0.726,0,Not Available,Not Available,Not Available,Not Available,Not Available,0.52,0.014,0.294,0.678,0 out of 10,0 out of 9,0 out of 10
2024,10131,CRESTWOOD MEDICAL CENTER,ONE HOSPITAL DR SE,HUNTSVILLE,AL,35801,MADISON,0.589,0,2.299,2.132,0 out of 10,0 out of 9,0 out of 10,0.65,0,0.291,0.000,10 out of 10,9 out of 9,10 out of 10,0 out of 10,0.717,0,0.000,0.928,0 out of 10,0 out of 9,0 out of 10,0.738,0,3.581,Not Available,Not Available,Not Available,Not Available,0.726,0,0.687,0.000,10 out of 10,9 out of 9,10 out of 10,0.52,0.014,0.645,0.501,1 out of 10,2 out of 9,2 out of 10
